Organization,PS_No,submissions,Problem_Statement_Title,Description,Category,Domain Bucket,Youtube Link,Dataset Link
BEML Limited,AK210,1,Design of Energy Efficient Regenerative Hydraulic System for 100 Ton Excavator,"An excavator is a construction vehicle used to excavate or move large objects. The excavator uses a Hydraulic system to generate a Hydraulic force to control the mechanical arm of the machine. It also uses a crawler system for its movement.
The main sections of an excavator are the undercarriage assembly, revolving frame assy. The undercarriage assembly includes tracks, track frame, and final drives, which have a hydraulic motor and gearing providing the drive to the individual tracks. The revolving frame assembly includes the operator cab, counterweight, engine, fuel and hydraulic oil tanks and work attachment of boom, arm & bucket its actuating cylinders, the swing system has swing machinery of gearbox and driving swing motors with hydrostatic primary brake and parking brake as secondary for safe operation of excavator. The hydraulic control system is actuated by operator sitting in operator cabin seat with Hydraulic joystick.  The revolving structure attaches to the undercarriage by way of slewing bearing system. High pressure oil is supplied to the tracks of hydraulic motors through a hydraulic swivel  joint at the axis of the swing center, allowing the machine to slew 360° unhindered and thus provides the left-and-right movement. 
Saving energy of construction machinery, especially the hydraulic excavator is very essential. The development of new energy saving solutions and efficient hydraulic system have become a priority for OEM's.
When hydraulic excavators lower their boom or brake the rotating upper structure, recoverable potential or kinetic energy is available. A new regeneration scheme to recover these energies to reduce the power loss and energy /fuel saving. The total potential energy could be regenerated under the standard operating conditions in the proposed system should be more energy efficient at least 30~40% of existing system.
Outcome expected: 
1.	Propose alternative Design for energy efficient Regenerative Hydraulic system for 100 ton Excavator.
2.	Alternative concept and features should meet or exceed the hydraulic system efficiency of  current hydraulic system.
3.	Concept needs to be described with block diagram and working principle indicating regeneration of hydraulic energy to be described in hydraulic system line diagram.
4.	The proposed energy regeneration system to be verified through simulation result which is done in AMESim / Simulink or any other software.
5.	Need to explain the functional block model, methodology, Algorithm and flow chart used.
6.	The proposed energy recovery system and control strategy should improve energy recovery efficiency and optimize working performance of the system. 
7.	Proposed regenerative hydraulic circuit to be simulated at various operating conditions. The results shall be explained for energy / power saving, improved efficiency, Reduce losses and hydraulic oil temperature control, etc.",Software,Smart Vehicles,,https://www.sih.gov.in/uploads/psData/AK210PSSIH2020191211152905.pdf
"Dte of IT & Cyber Security, DRDO",CK132,1,"Timing error estimation and matched filtering are crucial processing blocks in a communication receiver. The problem is like looking for the occurrence of a known signal in the observed/measured signal, which is noisy and distorted. This nature of problem makes it best suited for intelligent approach, as human brain invariably solves this kind of problem in day-to-day life. Classical techniques like maximum likelihood, Early-Late, Gardener and Muller approaches have been successfully implemented. However, it is perceived that machine learning techniques will outperform the classical approaches and this fact needs to be researched. The neural network shall use minimum computation and converge fast for practical and real-time implementation. If the results are promising, it can be applied for military and commercial radars.","""Timing error estimation and matched filtering are crucial processing blocks in a communication receiver. The problem is like looking for the occurrence of a known signal in the observed/measured signal, which is noisy and distorted. This nature of problem makes it best suited for intelligent approach, as human brain invariably solves this kind of problem in day-to-day life. Classical techniques like maximum likelihood, Early-Late, Gardener and Muller approaches have been successfully implemented. However, it is perceived that machine learning techniques will outperform the classical approaches and this fact needs to be researched. The neural network shall use minimum computation and converge fast for practical and real-time implementation. If the results are promising, it can be applied for military and commercial radars.
Design a proof of concept that can be used to prove that AI can be used to solve above problems and provide significant help to such radars""",Software,Smart Communication,,
"Central Water Commission, Ministry of Jal Shakti",SK153,1,Embankment Mapping and Crowdsourced Health Card for Preventive Structural Measures,"The inspection and monitoring of health of embankment for preventive maintenance is a massive and intensive exercise which has huge financial ramifications. The manpower requirements for effectively carrying out such an important exercise is very high keeping in view large number of embankment protection works across river networks which are not easily accessible at times. Therefore, preventive maintenance of embankments needs a technological solutioninvolving participation of localsto safeguard the public property and life.

One such solution may be through the use of embankment mapping and crowdsourced health card. Embankment mapping involves the development of GIS application to analyse the existing river embankment network. The crowd sourced data with images, geo-location and time stamp can be used for the generation of health card of embankment and identifying the critical sections thereof for their preventive maintenance.",Software,Miscellaneous,https://youtu.be/0TGcTvdBzBA,https://youtu.be/0TGcTvdBzBA
Ministry of Rural Development,MK204,1,Geography based analysis for noise identification in large and complex data gathered,"Data at ground level is captured for various schemes across multiple parameters/indicators. This data is large
and consists of physical, financial, beneficiary, geographical details etc. under various schemes year on year.
Since different programs have different methods of data collection, many a times it has been observed that
data is not consistent, consists of erroneous entries etc.
A solution is required which is able to identify types of noise in data collected and also highlight
usage/propose implementation of best practices/latest technological interventions followed for data collection
and making data entry rectifications.
Sample Data Required: No",Software,Software - Web App development,,
Ministry of Rural Development,MK208,1,"Mechanism for linking of works under convergence in Rurbanwith multiple DBs (e.g.: MGNREGS, PMUY, DDU-GKY, PMAY, SAGY etc.)","Multiple works in GPs are taken under Rurban through CGF Fund and Convergence
Fund and both are captured in Rurbansoft. But at present, there is no mechanism to
verify the works under convergence fund with works under other Convergence
schemes. There may be a need of linking of works under Rurban with works under
multiple convergence scheme DBs for verification of accuracy of actual works. We
need an interface where Rurban works under convergence can be mapped with
other convergence scheme DBs (through API or other technology).
Sample Data : No",Software,Software - Web App development,,
Ministry of Communications,PJ237,1,Upgrading 3G Mobile for LTE/4G network,"“Upgrading 3G Mobile for LTE/4G network- There are many user with 3G handset who are using mobile services
mainly for voice communications. For example senior citizens, school students/kids (phone given by parents to
be in touch in case of emergency or to just convey the status in reaching or leaving school) helpers
(maid/servants). However, with roll out of LTE/4G network by major telecom operators and voice service (by VoLTE)
at much cheaper cost such subscribers are forced to but a new LTE/4G mobile or to forego such benefits. It may be
worthwhile to explore the possibility of upgrading the 3G mobile handset which already support packet data
functionality, to LTE/4G mobile and to start with focus may be limited to the VoLTE capability along if the cost of
solution with software upgrades and hardware (w.r.t. RF part) vis-avis a new LTE mobile is quite low, it will also help
in reducing the e-waste or recycling of 3G/4G mobile phones.”",Hardware,Smart Communication,,
"National Jute Board, Min of Textiles",AR243,1,How to get another dedicated internet service provider (ISP) for an e-governance portal,"How to get another dedicated internet service provider (ISP) for an e-governance portal, currently in use, replacing an existing ISP Providing broadband connection with a static IP Address",Hardware,Miscellaneous,,
"National Jute Board, Min of Textiles",AR251,1,Integrating identification of HS Codes and LCS checking at the International borders and improving the surveillance system.,Integrating identification of HS Codes and LCS checking at the International borders and improving the surveillance system. Study the existing surveillance system and understand how they gather the relevant codes. Identify arenas where the existing system can be improved and develop software/hardware system wherever necessary.,Software,Security & Surveillance,,
Ministry of Power,LN384,1,Auto fetching of regulatory compliance data of power sector stake holders for analysing and reporting purpose,We are looking for Auto fetching of regulatory compliance data of power sector stake holders. This would be helpful for analysing and reporting purpose. This tool should auto-fetch the new or additional regulatory compliance data and auto inform to users. Design should be easy to use so that analysis and reporting can be smoothly performed.,Software,Software - Web App development,,
Indian Space Research Organisation (ISRO),NM387,1,GNSS Reflected Signal Coverage Simulator,"Apart from determining location, GNSS can also be used for estimating geophysical parameters using its reflected signal. Based on the satellite altitude/position, the receivers receive reflected signals from a particular region. The reflected signals get changed with change in the surface and terrain characteristics.

In this problem, the teams need to develop a software suite that will provide the following features.

•	Run dynamic simulations to identify the reflected signal area coverage of a particular satellite with its time and position.
•	Tool to analyse the effect of the obstacle in the identified coverage area.

The teams will be provided the following input
•	Orbital parameters of all GNSS satellites
•	Digital elevation model of the study area
•	On ground locations of the GNSS receivers",Software,Miscellaneous,,
